"name","state_initials"
BENJAMIN CONSTANT,AM
BERURI,AM
BOA VISTA DO RAMOS,AM
BOCA DO ACRE,AM
BORBA,AM
CAAPIRANGA,AM
CANUTAMA,AM
CARAUARI,AM
CAREIRO,AM
CAREIRO DA VÁRZEA,AM
COARI,AM
CODAJÁS,AM
EIRUNEPÉ,AM
ENVIRA,AM
FONTE BOA,AM
GUAJARÁ,AM
HUMAITÁ,AM
IPIXUNA,AM
IRANDUBA,AM
ITACOATIARA,AM
ITAMARATI,AM
ITAPIRANGA,AM
JAPURÁ,AM
JURUÁ,AM
JUTAÍ,AM
LÁBREA,AM
MANACAPURU,AM
MANAQUIRI,AM
MANAUS,AM
MANICORÉ,AM
MARAÃ,AM
MAUÉS,AM
NHAMUNDÁ,AM
NOVA OLINDA DO NORTE,AM
NOVO AIRÃO,AM
NOVO ARIPUANÃ,AM
PARINTINS,AM
PAUINI,AM
PRESIDENTE FIGUEIREDO,AM
RIO PRETO DA EVA,AM
SANTA ISABEL DO RIO NEGRO,AM
SANTO ANTÔNIO DO IÇÁ,AM
SÃO GABRIEL DA CACHOEIRA,AM
SÃO PAULO DE OLIVENÇA,AM
SÃO SEBASTIÃO DO UATUMÃ,AM
SILVES,AM
TABATINGA,AM
TAPAUÁ,AM
TEFÉ,AM
TONANTINS,AM
UARINI,AM
URUCARÁ,AM
URUCURITUBA,AM
AMAJARI,RR
ALTO ALEGRE,RR
BOA VISTA,RR
BONFIM,RR
CANTÁ,RR
CARACARAÍ,RR
CAROEBE,RR
IRACEMA,RR
MUCAJAÍ,RR
NORMANDIA,RR
PACARAIMA,RR
RORAINÓPOLIS,RR
SÃO JOÃO DA BALIZA,RR
SÃO LUIZ,RR
UIRAMUTÃ,RR
ABAETETUBA,PA
ABEL FIGUEIREDO,PA
ACARÁ,PA
AFUÁ,PA
ÁGUA AZUL DO NORTE,PA
ALENQUER,PA
ALMEIRIM,PA
ALTAMIRA,PA
ANAJÁS,PA
ANANINDEUA,PA
ANAPU,PA
AUGUSTO CORRÊA,PA
AURORA DO PARÁ,PA
AVEIRO,PA
BAGRE,PA
BAIÃO,PA
BANNACH,PA
BARCARENA,PA
BELÉM,PA
BELTERRA,PA
BENEVIDES,PA
BOM JESUS DO TOCANTINS,PA
BONITO,PA
BRAGANÇA,PA
BRASIL NOVO,PA
BREJO GRANDE DO ARAGUAIA,PA
BREU BRANCO,PA
BREVES,PA
BUJARU,PA
CACHOEIRA DO PIRIÁ,PA
CACHOEIRA DO ARARI,PA
CAMETÁ,PA
CANAÃ DOS CARAJÁS,PA
CAPANEMA,PA
CAPITÃO POÇO,PA
CASTANHAL,PA
CHAVES,PA
COLARES,PA
CONCEIÇÃO DO ARAGUAIA,PA
CONCÓRDIA DO PARÁ,PA
CUMARU DO NORTE,PA
CURIONÓPOLIS,PA
CUTIAS,AP
CURRALINHO,PA
CURUÁ,PA
CURUÇÁ,PA
DOM ELISEU,PA
ELDORADO DOS CARAJÁS,PA
FARO,PA
FLORESTA DO ARAGUAIA,PA
GARRAFÃO DO NORTE,PA
GOIANÉSIA DO PARÁ,PA
GURUPÁ,PA
IGARAPÉ-AÇU,PA
IGARAPÉ-MIRI,PA
INHANGAPI,PA
IPIXUNA DO PARÁ,PA
IRITUIA,PA
ITAITUBA,PA
ITUPIRANGA,PA
JACAREACANGA,PA
JACUNDÁ,PA
JURUTI,PA
LIMOEIRO DO AJURU,PA
MÃE DO RIO,PA
MAGALHÃES BARATA,PA
MARABÁ,PA
MARACANÃ,PA
MARAPANIM,PA
MARITUBA,PA
MEDICILÂNDIA,PA
MELGAÇO,PA
MOCAJUBA,PA
MOJU,PA
MONTE ALEGRE,PA
MUANÁ,PA
NOVA ESPERANÇA DO PIRIÁ,PA
NOVA IPIXUNA,PA
NOVA TIMBOTEUA,PA
NOVO PROGRESSO,PA
NOVO REPARTIMENTO,PA
ÓBIDOS,PA
OEIRAS DO PARÁ,PA
ORIXIMINÁ,PA
OURÉM,PA
OURILÂNDIA DO NORTE,PA
PACAJÁ,PA
PALESTINA DO PARÁ,PA
PARAGOMINAS,PA
PARAUAPEBAS,PA
PAU D'ARCO,PA
PEIXE-BOI,PA
PIÇARRA,PA
PLACAS,PA
PONTA DE PEDRAS,PA
PORTEL,PA
PORTO DE MOZ,PA
PRAINHA,PA
PRIMAVERA,PA
QUATIPURU,PA
REDENÇÃO,PA
RIO MARIA,PA
RONDON DO PARÁ,PA
RURÓPOLIS,PA
SALINÓPOLIS,PA
SALVATERRA,PA
SANTA BÁRBARA DO PARÁ,PA
SANTA CRUZ DO ARARI,PA
SANTA ISABEL DO PARÁ,PA
SANTA LUZIA DO PARÁ,PA
SANTA MARIA DAS BARREIRAS,PA
SANTA MARIA DO PARÁ,PA
SANTANA DO ARAGUAIA,PA
SANTARÉM,PA
SANTARÉM NOVO,PA
SANTO ANTÔNIO DO TAUÁ,PA
SÃO CAETANO DE ODIVELAS,PA
SÃO DOMINGOS DO ARAGUAIA,PA
SÃO DOMINGOS DO CAPIM,PA
SÃO FÉLIX DO XINGU,PA
SÃO FRANCISCO DO PARÁ,PA
SÃO GERALDO DO ARAGUAIA,PA
SÃO JOÃO DA PONTA,PA
SÃO JOÃO DE PIRABAS,PA
SÃO JOÃO DO ARAGUAIA,PA
SÃO MIGUEL DO GUAMÁ,PA
SÃO SEBASTIÃO DA BOA VISTA,PA
SAPUCAIA,PA
SENADOR JOSÉ PORFÍRIO,PA
SOURE,PA
TAILÂNDIA,PA
TERRA ALTA,PA
TERRA SANTA,PA
TOMÉ-AÇU,PA
TRACUATEUA,PA
TRAIRÃO,PA
TUCUMÃ,PA
TUCURUÍ,PA
ULIANÓPOLIS,PA
URUARÁ,PA
VIGIA,PA
VISEU,PA
VITÓRIA DO XINGU,PA
XINGUARA,PA
SERRA DO NAVIO,AP
AMAPÁ,AP
PEDRA BRANCA DO AMAPARI,AP
CALÇOENE,AP
FERREIRA GOMES,AP
ITAUBAL,AP
LARANJAL DO JARI,AP
MACAPÁ,AP
MAZAGÃO,AP
OIAPOQUE,AP
PORTO GRANDE,AP
PRACUÚBA,AP
SANTANA,AP
TARTARUGALZINHO,AP
VITÓRIA DO JARI,AP
ABREULÂNDIA,TO
AGUIARNÓPOLIS,TO
ALIANÇA DO TOCANTINS,TO
ALMAS,TO
ALVORADA,TO
ANANÁS,TO
ANGICO,TO
APARECIDA DO RIO NEGRO,TO
ARAGOMINAS,TO
ARAGUACEMA,TO
ARAGUAÇU,TO
ARAGUAÍNA,TO
ARAGUANÃ,TO
ARAGUATINS,TO
ARAPOEMA,TO
ARRAIAS,TO
AUGUSTINÓPOLIS,TO
AURORA DO TOCANTINS,TO
AXIXÁ DO TOCANTINS,TO
BABAÇULÂNDIA,TO
BANDEIRANTES DO TOCANTINS,TO
BARRA DO OURO,TO
BARROLÂNDIA,TO
BERNARDO SAYÃO,TO
BOM JESUS DO TOCANTINS,TO
BRASILÂNDIA DO TOCANTINS,TO
BREJINHO DE NAZARÉ,TO
BURITI DO TOCANTINS,TO
CACHOEIRINHA,TO
CAMPOS LINDOS,TO
CARIRI DO TOCANTINS,TO
CARMOLÂNDIA,TO
CARRASCO BONITO,TO
CASEARA,TO
CENTENÁRIO,TO
CHAPADA DE AREIA,TO
CHAPADA DA NATIVIDADE,TO
COLINAS DO TOCANTINS,TO
COMBINADO,TO
CONCEIÇÃO DO TOCANTINS,TO
COUTO MAGALHÃES,TO
CRISTALÂNDIA,TO
CRIXÁS DO TOCANTINS,TO
DARCINÓPOLIS,TO
DIANÓPOLIS,TO
DIVINÓPOLIS DO TOCANTINS,TO
DOIS IRMÃOS DO TOCANTINS,TO
DUERÉ,TO
ESPERANTINA,TO
FÁTIMA,TO
FIGUEIRÓPOLIS,TO
FILADÉLFIA,TO
FORMOSO DO ARAGUAIA,TO
FORTALEZA DO TABOCÃO,TO
GOIANORTE,TO
GOIATINS,TO
GUARAÍ,TO
GURUPI,TO
IPUEIRAS,TO
ITACAJÁ,TO
ITAGUATINS,TO
ITAPIRATINS,TO
ITAPORÃ DO TOCANTINS,TO
JAÚ DO TOCANTINS,TO
JUARINA,TO
LAGOA DA CONFUSÃO,TO
LAGOA DO TOCANTINS,TO
LAJEADO,TO
LAVANDEIRA,TO
LIZARDA,TO
LUZINÓPOLIS,TO
MARIANÓPOLIS DO TOCANTINS,TO
MATEIROS,TO
MAURILÂNDIA DO TOCANTINS,TO
MIRACEMA DO TOCANTINS,TO
MIRANORTE,TO
MONTE DO CARMO,TO
MONTE SANTO DO TOCANTINS,TO
PALMEIRAS DO TOCANTINS,TO
MURICILÂNDIA,TO
NATIVIDADE,TO
NAZARÉ,TO
NOVA OLINDA,TO
NOVA ROSALÂNDIA,TO
NOVO ACORDO,TO
NOVO ALEGRE,TO
NOVO JARDIM,TO
OLIVEIRA DE FÁTIMA,TO
PALMEIRANTE,TO
PALMEIRÓPOLIS,TO
PARAÍSO DO TOCANTINS,TO
PARANÃ,TO
PAU D'ARCO,TO
PEDRO AFONSO,TO
PEIXE,TO
PEQUIZEIRO,TO
COLMÉIA,TO
PINDORAMA DO TOCANTINS,TO
PIRAQUÊ,TO
PIUM,TO
PONTE ALTA DO BOM JESUS,TO
PONTE ALTA DO TOCANTINS,TO
PORTO ALEGRE DO TOCANTINS,TO
PORTO NACIONAL,TO
PRAIA NORTE,TO
PRESIDENTE KENNEDY,TO
PUGMIL,TO
RECURSOLÂNDIA,TO
RIACHINHO,TO
RIO DA CONCEIÇÃO,TO
RIO DOS BOIS,TO
RIO SONO,TO
SAMPAIO,TO
SANDOLÂNDIA,TO
SANTA FÉ DO ARAGUAIA,TO
SANTA MARIA DO TOCANTINS,TO
SANTA RITA DO TOCANTINS,TO
SANTA ROSA DO TOCANTINS,TO
SANTA TEREZA DO TOCANTINS,TO
SANTA TEREZINHA DO TOCANTINS,TO
SÃO BENTO DO TOCANTINS,TO
SÃO FÉLIX DO TOCANTINS,TO
SÃO MIGUEL DO TOCANTINS,TO
SÃO SALVADOR DO TOCANTINS,TO
SÃO SEBASTIÃO DO TOCANTINS,TO
SÃO VALÉRIO,TO
SILVANÓPOLIS,TO
SÍTIO NOVO DO TOCANTINS,TO
SUCUPIRA,TO
TAGUATINGA,TO
TAIPAS DO TOCANTINS,TO
TALISMÃ,TO
PALMAS,TO
TOCANTÍNIA,TO
TOCANTINÓPOLIS,TO
TUPIRAMA,TO
TUPIRATINS,TO
WANDERLÂNDIA,TO
XAMBIOÁ,TO
AÇAILÂNDIA,MA
AFONSO CUNHA,MA
ÁGUA DOCE DO MARANHÃO,MA
ALCÂNTARA,MA
ALDEIAS ALTAS,MA
ALTAMIRA DO MARANHÃO,MA
ALTO ALEGRE DO MARANHÃO,MA
ALTO ALEGRE DO PINDARÉ,MA
ALTO PARNAÍBA,MA
AMAPÁ DO MARANHÃO,MA
AMARANTE DO MARANHÃO,MA
ANAJATUBA,MA
ANAPURUS,MA
APICUM-AÇU,MA
ARAGUANÃ,MA
ARAIOSES,MA
ARAME,MA
ARARI,MA
AXIXÁ,MA
BACABAL,MA
BACABEIRA,MA
BACURI,MA
BACURITUBA,MA
BALSAS,MA
BARÃO DE GRAJAÚ,MA
BARRA DO CORDA,MA
BARREIRINHAS,MA
BELÁGUA,MA
BELA VISTA DO MARANHÃO,MA
BENEDITO LEITE,MA
BEQUIMÃO,MA
BERNARDO DO MEARIM,MA
BOA VISTA DO GURUPI,MA
BOM JARDIM,MA
BOM JESUS DAS SELVAS,MA
BOM LUGAR,MA
BREJO,MA
BREJO DE AREIA,MA
BURITI,MA
BURITI BRAVO,MA
BURITICUPU,MA
BURITIRANA,MA
CACHOEIRA GRANDE,MA
CAJAPIÓ,MA
CAJARI,MA
CAMPESTRE DO MARANHÃO,MA
CÂNDIDO MENDES,MA
CANTANHEDE,MA
CAPINZAL DO NORTE,MA
CAROLINA,MA
CARUTAPERA,MA
CAXIAS,MA
CEDRAL,MA
CENTRAL DO MARANHÃO,MA
CENTRO DO GUILHERME,MA
CENTRO NOVO DO MARANHÃO,MA
CHAPADINHA,MA
CIDELÂNDIA,MA
CODÓ,MA
COELHO NETO,MA
COLINAS,MA
CONCEIÇÃO DO LAGO-AÇU,MA
COROATÁ,MA
CURURUPU,MA
DAVINÓPOLIS,MA
DOM PEDRO,MA
DUQUE BACELAR,MA
ESPERANTINÓPOLIS,MA
ESTREITO,MA
FEIRA NOVA DO MARANHÃO,MA
FERNANDO FALCÃO,MA
FORMOSA DA SERRA NEGRA,MA
FORTALEZA DOS NOGUEIRAS,MA
FORTUNA,MA
GODOFREDO VIANA,MA
GONÇALVES DIAS,MA
GOVERNADOR ARCHER,MA
AMARAJI,PE
GOVERNADOR EDISON LOBÃO,MA
GOVERNADOR EUGÊNIO BARROS,MA
GOVERNADOR LUIZ ROCHA,MA
GOVERNADOR NEWTON BELLO,MA
GOVERNADOR NUNES FREIRE,MA
GRAÇA ARANHA,MA
GRAJAÚ,MA
GUIMARÃES,MA
HUMBERTO DE CAMPOS,MA
ICATU,MA
IGARAPÉ DO MEIO,MA
IGARAPÉ GRANDE,MA
IMPERATRIZ,MA
ITAIPAVA DO GRAJAÚ,MA
ITAPECURU MIRIM,MA
ITINGA DO MARANHÃO,MA
JATOBÁ,MA
JENIPAPO DOS VIEIRAS,MA
JOÃO LISBOA,MA
JOSELÂNDIA,MA
JUNCO DO MARANHÃO,MA
LAGO DA PEDRA,MA
LAGO DO JUNCO,MA
LAGO VERDE,MA
LAGOA DO MATO,MA
LAGO DOS RODRIGUES,MA
LAGOA GRANDE DO MARANHÃO,MA
LAJEADO NOVO,MA
LIMA CAMPOS,MA
LORETO,MA
LUÍS DOMINGUES,MA
MAGALHÃES DE ALMEIDA,MA
MARACAÇUMÉ,MA
MARAJÁ DO SENA,MA
MARANHÃOZINHO,MA
MATA ROMA,MA
MATINHA,MA
MATÕES,MA
MATÕES DO NORTE,MA
MILAGRES DO MARANHÃO,MA
MIRADOR,MA
MIRANDA DO NORTE,MA
MIRINZAL,MA
MONÇÃO,MA
MONTES ALTOS,MA
MORROS,MA
NINA RODRIGUES,MA
NOVA COLINAS,MA
NOVA IORQUE,MA
NOVA OLINDA DO MARANHÃO,MA
OLHO D'ÁGUA DAS CUNHÃS,MA
OLINDA NOVA DO MARANHÃO,MA
PAÇO DO LUMIAR,MA
PALMEIRÂNDIA,MA
PARAIBANO,MA
PARNARAMA,MA
PASSAGEM FRANCA,MA
PASTOS BONS,MA
PAULINO NEVES,MA
PAULO RAMOS,MA
PEDREIRAS,MA
PEDRO DO ROSÁRIO,MA
PENALVA,MA
PERI MIRIM,MA
PERITORÓ,MA
PINDARÉ-MIRIM,MA
PINHEIRO,MA
PIO XII,MA
PIRAPEMAS,MA
POÇÃO DE PEDRAS,MA
PORTO FRANCO,MA
PORTO RICO DO MARANHÃO,MA
PRESIDENTE DUTRA,MA
PRESIDENTE JUSCELINO,MA
PRESIDENTE MÉDICI,MA
PRESIDENTE SARNEY,MA
PRESIDENTE VARGAS,MA
PRIMEIRA CRUZ,MA
RAPOSA,MA
RIACHÃO,MA
RIBAMAR FIQUENE,MA
ROSÁRIO,MA
SAMBAÍBA,MA
SANTA FILOMENA DO MARANHÃO,MA
SANTA HELENA,MA
SANTA INÊS,MA
SANTA LUZIA,MA
SANTA LUZIA DO PARUÁ,MA
SANTA QUITÉRIA DO MARANHÃO,MA
SANTA RITA,MA
SANTANA DO MARANHÃO,MA
SANTO AMARO DO MARANHÃO,MA
SANTO ANTÔNIO DOS LOPES,MA
SÃO BENEDITO DO RIO PRETO,MA
SÃO BENTO,MA
SÃO BERNARDO,MA
SÃO DOMINGOS DO AZEITÃO,MA
SÃO DOMINGOS DO MARANHÃO,MA
SÃO FÉLIX DE BALSAS,MA
SÃO FRANCISCO DO BREJÃO,MA
SÃO FRANCISCO DO MARANHÃO,MA
SÃO JOÃO BATISTA,MA
SÃO JOÃO DO CARÚ,MA
SÃO JOÃO DO PARAÍSO,MA
SÃO JOÃO DO SOTER,MA
SÃO JOÃO DOS PATOS,MA
SÃO JOSÉ DE RIBAMAR,MA
SÃO JOSÉ DOS BASÍLIOS,MA
SÃO LUÍS,MA
SÃO LUÍS GONZAGA DO MARANHÃO,MA
SÃO MATEUS DO MARANHÃO,MA
SÃO PEDRO DA ÁGUA BRANCA,MA
SÃO PEDRO DOS CRENTES,MA
SÃO RAIMUNDO DAS MANGABEIRAS,MA
SÃO RAIMUNDO DO DOCA BEZERRA,MA
SÃO ROBERTO,MA
SÃO VICENTE FERRER,MA
SATUBINHA,MA
SENADOR ALEXANDRE COSTA,MA
SENADOR LA ROCQUE,MA
SERRANO DO MARANHÃO,MA
SÍTIO NOVO,MA
SUCUPIRA DO NORTE,MA
SUCUPIRA DO RIACHÃO,MA
TASSO FRAGOSO,MA
TIMBIRAS,MA
TIMON,MA
TRIZIDELA DO VALE,MA
TUFILÂNDIA,MA
TUNTUM,MA
TURIAÇU,MA
TURILÂNDIA,MA
TUTÓIA,MA
URBANO SANTOS,MA
VARGEM GRANDE,MA
VIANA,MA
VILA NOVA DOS MARTÍRIOS,MA
VITÓRIA DO MEARIM,MA
VITORINO FREIRE,MA
ZÉ DOCA,MA
ACAUÃ,PI
AGRICOLÂNDIA,PI
ÁGUA BRANCA,PI
ALAGOINHA DO PIAUÍ,PI
ALEGRETE DO PIAUÍ,PI
ALTO LONGÁ,PI
ALTOS,PI
ALVORADA DO GURGUÉIA,PI
AMARANTE,PI
ANGICAL DO PIAUÍ,PI
ANÍSIO DE ABREU,PI
ANTÔNIO ALMEIDA,PI
AROAZES,PI
AROEIRAS DO ITAIM,PI
ARRAIAL,PI
ASSUNÇÃO DO PIAUÍ,PI
AVELINO LOPES,PI
BAIXA GRANDE DO RIBEIRO,PI
BARRA D'ALCÂNTARA,PI
BARRAS,PI
BARREIRAS DO PIAUÍ,PI
BARRO DURO,PI
BATALHA,PI
BELA VISTA DO PIAUÍ,PI
BELÉM DO PIAUÍ,PI
BENEDITINOS,PI
BERTOLÍNIA,PI
BETÂNIA DO PIAUÍ,PI
BOA HORA,PI
BOCAINA,PI
BOM JESUS,PI
BOM PRINCÍPIO DO PIAUÍ,PI
BONFIM DO PIAUÍ,PI
BOQUEIRÃO DO PIAUÍ,PI
BRASILEIRA,PI
BREJO DO PIAUÍ,PI
BURITI DOS LOPES,PI
BURITI DOS MONTES,PI
CABECEIRAS DO PIAUÍ,PI
CAJAZEIRAS DO PIAUÍ,PI
CAJUEIRO DA PRAIA,PI
CALDEIRÃO GRANDE DO PIAUÍ,PI
CAMPINAS DO PIAUÍ,PI
CAMPO ALEGRE DO FIDALGO,PI
CAMPO GRANDE DO PIAUÍ,PI
CAMPO LARGO DO PIAUÍ,PI
CAMPO MAIOR,PI
CANAVIEIRA,PI
CANTO DO BURITI,PI
CAPITÃO DE CAMPOS,PI
CAPITÃO GERVÁSIO OLIVEIRA,PI
CARACOL,PI
CARAÚBAS DO PIAUÍ,PI
CARIDADE DO PIAUÍ,PI
CASTELO DO PIAUÍ,PI
CAXINGÓ,PI
COCAL,PI
COCAL DE TELHA,PI
COCAL DOS ALVES,PI
COIVARAS,PI
COLÔNIA DO GURGUÉIA,PI
COLÔNIA DO PIAUÍ,PI
CONCEIÇÃO DO CANINDÉ,PI
ANGELIM,PE
CORONEL JOSÉ DIAS,PI
CORRENTE,PI
CRISTALÂNDIA DO PIAUÍ,PI
CRISTINO CASTRO,PI
CURIMATÁ,PI
CURRAIS,PI
CURRALINHOS,PI
CURRAL NOVO DO PIAUÍ,PI
DEMERVAL LOBÃO,PI
DIRCEU ARCOVERDE,PI
DOM EXPEDITO LOPES,PI
DOMINGOS MOURÃO,PI
DOM INOCÊNCIO,PI
ELESBÃO VELOSO,PI
ELISEU MARTINS,PI
ESPERANTINA,PI
FARTURA DO PIAUÍ,PI
FLORES DO PIAUÍ,PI
FLORESTA DO PIAUÍ,PI
FLORIANO,PI
FRANCINÓPOLIS,PI
FRANCISCO AYRES,PI
FRANCISCO MACEDO,PI
FRANCISCO SANTOS,PI
FRONTEIRAS,PI
GEMINIANO,PI
GILBUÉS,PI
GUADALUPE,PI
GUARIBAS,PI
HUGO NAPOLEÃO,PI
ILHA GRANDE,PI
INHUMA,PI
IPIRANGA DO PIAUÍ,PI
ISAÍAS COELHO,PI
ITAINÓPOLIS,PI
ITAUEIRA,PI
JACOBINA DO PIAUÍ,PI
JAICÓS,PI
JARDIM DO MULATO,PI
JATOBÁ DO PIAUÍ,PI
JERUMENHA,PI
JOÃO COSTA,PI
JOAQUIM PIRES,PI
JOCA MARQUES,PI
JOSÉ DE FREITAS,PI
JUAZEIRO DO PIAUÍ,PI
JÚLIO BORGES,PI
JUREMA,PI
LAGOINHA DO PIAUÍ,PI
LAGOA ALEGRE,PI
LAGOA DO BARRO DO PIAUÍ,PI
LAGOA DE SÃO FRANCISCO,PI
LAGOA DO PIAUÍ,PI
LAGOA DO SÍTIO,PI
LANDRI SALES,PI
LUÍS CORREIA,PI
LUZILÂNDIA,PI
MADEIRO,PI
MANOEL EMÍDIO,PI
MARCOLÂNDIA,PI
MARCOS PARENTE,PI
MASSAPÊ DO PIAUÍ,PI
MATIAS OLÍMPIO,PI
MIGUEL ALVES,PI
MIGUEL LEÃO,PI
MILTON BRANDÃO,PI
MONSENHOR GIL,PI
MONSENHOR HIPÓLITO,PI
MONTE ALEGRE DO PIAUÍ,PI
MORRO CABEÇA NO TEMPO,PI
MORRO DO CHAPÉU DO PIAUÍ,PI
MURICI DOS PORTELAS,PI
NAZARÉ DO PIAUÍ,PI
NAZÁRIA,PI
NOSSA SENHORA DE NAZARÉ,PI
NOSSA SENHORA DOS REMÉDIOS,PI
NOVO ORIENTE DO PIAUÍ,PI
NOVO SANTO ANTÔNIO,PI
OEIRAS,PI
OLHO D'ÁGUA DO PIAUÍ,PI
PADRE MARCOS,PI
PAES LANDIM,PI
PAJEÚ DO PIAUÍ,PI
PALMEIRA DO PIAUÍ,PI
PALMEIRAIS,PI
PAQUETÁ,PI
PARNAGUÁ,PI
PARNAÍBA,PI
PASSAGEM FRANCA DO PIAUÍ,PI
PATOS DO PIAUÍ,PI
PAU D'ARCO DO PIAUÍ,PI
PAULISTANA,PI
PAVUSSU,PI
PEDRO II,PI
PEDRO LAURENTINO,PI
NOVA SANTA RITA,PI
PICOS,PI
PIMENTEIRAS,PI
PIO IX,PI
PIRACURUCA,PI
PIRIPIRI,PI
PORTO,PI
PORTO ALEGRE DO PIAUÍ,PI
PRATA DO PIAUÍ,PI
QUEIMADA NOVA,PI
REDENÇÃO DO GURGUÉIA,PI
REGENERAÇÃO,PI
RIACHO FRIO,PI
RIBEIRA DO PIAUÍ,PI
RIBEIRO GONÇALVES,PI
RIO GRANDE DO PIAUÍ,PI
SANTA CRUZ DO PIAUÍ,PI
SANTA CRUZ DOS MILAGRES,PI
SANTA FILOMENA,PI
SANTA LUZ,PI
SANTANA DO PIAUÍ,PI
SANTA ROSA DO PIAUÍ,PI
SANTO ANTÔNIO DE LISBOA,PI
SANTO ANTÔNIO DOS MILAGRES,PI
SANTO INÁCIO DO PIAUÍ,PI
SÃO BRAZ DO PIAUÍ,PI
SÃO FÉLIX DO PIAUÍ,PI
SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI
SÃO FRANCISCO DO PIAUÍ,PI
SÃO GONÇALO DO GURGUÉIA,PI
SÃO GONÇALO DO PIAUÍ,PI
SÃO JOÃO DA CANABRAVA,PI
SÃO JOÃO DA FRONTEIRA,PI
SÃO JOÃO DA SERRA,PI
SÃO JOÃO DA VARJOTA,PI
SÃO JOÃO DO ARRAIAL,PI
SÃO JOÃO DO PIAUÍ,PI
SÃO JOSÉ DO DIVINO,PI
SÃO JOSÉ DO PEIXE,PI
SÃO JOSÉ DO PIAUÍ,PI
SÃO JULIÃO,PI
SÃO LOURENÇO DO PIAUÍ,PI
SÃO LUIS DO PIAUÍ,PI
SÃO MIGUEL DA BAIXA GRANDE,PI
SÃO MIGUEL DO FIDALGO,PI
SÃO MIGUEL DO TAPUIO,PI
SÃO PEDRO DO PIAUÍ,PI
SÃO RAIMUNDO NONATO,PI
SEBASTIÃO BARROS,PI
SEBASTIÃO LEAL,PI
SIGEFREDO PACHECO,PI
SIMÕES,PI
SIMPLÍCIO MENDES,PI
SOCORRO DO PIAUÍ,PI
SUSSUAPARA,PI
TAMBORIL DO PIAUÍ,PI
TANQUE DO PIAUÍ,PI
TERESINA,PI
UNIÃO,PI
URUÇUÍ,PI
VALENÇA DO PIAUÍ,PI
VÁRZEA BRANCA,PI
VÁRZEA GRANDE,PI
VERA MENDES,PI
VILA NOVA DO PIAUÍ,PI
WALL FERRAZ,PI
ABAIARA,CE
ACARAPE,CE
ACARAÚ,CE
ACOPIARA,CE
AIUABA,CE
ALCÂNTARAS,CE
ALTANEIRA,CE
ALTO SANTO,CE
AMONTADA,CE
ANTONINA DO NORTE,CE
APUIARÉS,CE
AQUIRAZ,CE
ARACATI,CE
ARACOIABA,CE
ARARENDÁ,CE
ARARIPE,CE
ARATUBA,CE
ARNEIROZ,CE
ASSARÉ,CE
AURORA,CE
BAIXIO,CE
BANABUIÚ,CE
BARBALHA,CE
BARREIRA,CE
BARRO,CE
BARROQUINHA,CE
BATURITÉ,CE
BEBERIBE,CE
BELA CRUZ,CE
